BondCode,BondName,Issuer,Term,CreditRating,BondType,IssueDate,CouponRate,_priority,_merge_code
188063,21海企01,江苏省苏豪新智集团有限公司,3.0,AAA,02,2021-05-12,4.09,999,188063
188064,21余姚01,余姚市城市建设投资发展有限公司,5.0,AA+,02,2021-05-06,4.5,999,188064
188065,21高科01,武汉高科国有控股集团有限公司,5.0,AA+,02,2021-05-10,4.45,999,188065
188067,21黔高01,贵州高速公路集团有限公司,5.0,AAA,02,2021-05-11,3.87,999,188067
188069,21绍城G1,绍兴市城市发展集团有限公司,7.0,AAA,02,2021-04-30,4.39,999,188069
188070,21金控02,江苏金坛投资控股有限公司,2.0,AA,02,2021-05-13,5.5,999,188070
188071,21长交03,长兴交通投资集团有限公司,5.0,AA+,02,2021-06-28,4.85,999,188071
188072,21北新01,北新建材集团有限公司,5.0,AAA,02,2021-05-06,3.65,999,188072
188075,21华鲁01,华鲁控股集团有限公司,5.0,AAA,02,2021-05-13,3.69,999,188075
188077,21曹国02,曹妃甸国控投资集团有限公司,5.0,AA+,02,2021-05-06,6.0,999,188077
188078,21五资01,五矿资本控股有限公司,3.0,AAA,02,2021-05-10,3.67,999,188078
188079,21凤凰02,江苏凤凰出版传媒集团有限公司,3.0,AAA,02,2021-05-10,3.53,999,188079
188080,21洪政03,南昌市政公用集团有限公司,5.0,AAA,02,2021-05-10,3.99,999,188080
188081,21水发01,水发集团有限公司,5.0,AAA,02,2021-05-20,5.14,999,188081
188082,21葛洲01,中国葛洲坝集团股份有限公司,5.0,AAA,02,2021-05-11,3.53,999,188082
188084,21两江01,重庆两江新区开发投资集团有限公司,5.0,AAA,02,2021-05-11,3.97,999,188084
188085,GC国铁01,中国铁路投资集团有限公司,2.0,AAA,02,2021-05-13,3.26,999,188085
188087,21盐投01,盐城东方投资开发集团有限公司,5.0,AA+,02,2021-05-12,6.48,999,188087
188088,21国联02,国联民生证券股份有限公司,3.0,AAA,02,2021-05-17,3.59,999,188088
188089,21国管01,北京国有资本运营管理有限公司,10.0,AAA,02,2021-05-14,4.03,999,188089
188090,21成大01,辽宁成大股份有限公司,3.0,AA+,02,2021-05-10,6.0,999,188090
188091,21扬州01,扬州市城建国有资产控股(集团)有限责任公司,3.0,AAA,02,2021-05-10,3.6,999,188091
188092,21中化Y5,中国中化股份有限公司,,AAA,02,2021-05-19,3.6,999,188092
188093,21中化Y6,中国中化股份有限公司,,AAA,02,2021-05-19,3.79,999,188093
